Stock,Date,Time,Price
AXISBANK,2023-10-17,09:15,1009.05
AXISBANK,2023-10-17,09:16,1010.75
AXISBANK,2023-10-17,09:17,1011.65
AXISBANK,2023-10-17,09:18,1013.0
AXISBANK,2023-10-17,09:19,1013.15
AXISBANK,2023-10-17,09:20,1012.55
AXISBANK,2023-10-17,09:21,1012.45
AXISBANK,2023-10-17,09:22,1010.75
AXISBANK,2023-10-17,09:23,1009.6
AXISBANK,2023-10-17,09:24,1008.4
AXISBANK,2023-10-17,09:25,1008.2
AXISBANK,2023-10-17,09:26,1008.05
AXISBANK,2023-10-17,09:27,1007.1
AXISBANK,2023-10-17,09:28,1007.4
AXISBANK,2023-10-17,09:29,1008.0
AXISBANK,2023-10-17,09:30,1007.65
AXISBANK,2023-10-17,09:31,1007.75
AXISBANK,2023-10-17,09:32,1007.7
AXISBANK,2023-10-17,09:33,1007.45
AXISBANK,2023-10-17,09:34,1007.35
AXISBANK,2023-10-17,09:35,1007.0
AXISBANK,2023-10-17,09:36,1008.15
AXISBANK,2023-10-17,09:37,1009.4
AXISBANK,2023-10-17,09:38,1007.25
AXISBANK,2023-10-17,09:39,1007.0
AXISBANK,2023-10-17,09:40,1006.4
AXISBANK,2023-10-17,09:41,1006.4
AXISBANK,2023-10-17,09:42,1007.2
AXISBANK,2023-10-17,09:43,1007.05
AXISBANK,2023-10-17,09:44,1007.65
AXISBANK,2023-10-17,09:45,1007.45
AXISBANK,2023-10-17,09:46,1008.0
AXISBANK,2023-10-17,09:47,1007.35
AXISBANK,2023-10-17,09:48,1007.2
AXISBANK,2023-10-17,09:49,1007.1
AXISBANK,2023-10-17,09:50,1007.5
AXISBANK,2023-10-17,09:51,1007.5
AXISBANK,2023-10-17,09:52,1008.05
AXISBANK,2023-10-17,09:53,1008.45
AXISBANK,2023-10-17,09:54,1008.85
AXISBANK,2023-10-17,09:55,1009.05
AXISBANK,2023-10-17,09:56,1009.75
AXISBANK,2023-10-17,09:57,1009.5
AXISBANK,2023-10-17,09:58,1008.95
AXISBANK,2023-10-17,09:59,1009.35
AXISBANK,2023-10-17,10:00,1009.3
AXISBANK,2023-10-17,10:01,1009.4
AXISBANK,2023-10-17,10:02,1009.95
AXISBANK,2023-10-17,10:03,1009.9
AXISBANK,2023-10-17,10:04,1010.0
AXISBANK,2023-10-17,10:05,1010.35
AXISBANK,2023-10-17,10:06,1009.8
AXISBANK,2023-10-17,10:07,1009.35
AXISBANK,2023-10-17,10:08,1009.35
AXISBANK,2023-10-17,10:09,1009.15
AXISBANK,2023-10-17,10:10,1009.85
AXISBANK,2023-10-17,10:11,1009.95
AXISBANK,2023-10-17,10:12,1009.7
AXISBANK,2023-10-17,10:13,1010.05
AXISBANK,2023-10-17,10:14,1010.0
AXISBANK,2023-10-17,10:15,1009.7
AXISBANK,2023-10-17,10:16,1009.85
AXISBANK,2023-10-17,10:17,1009.05
AXISBANK,2023-10-17,10:18,1008.8
AXISBANK,2023-10-17,10:19,1009.05
AXISBANK,2023-10-17,10:20,1008.95
AXISBANK,2023-10-17,10:21,1008.85
AXISBANK,2023-10-17,10:22,1009.1
AXISBANK,2023-10-17,10:23,1009.0
AXISBANK,2023-10-17,10:24,1009.1
AXISBANK,2023-10-17,10:25,1008.95
AXISBANK,2023-10-17,10:26,1008.9
AXISBANK,2023-10-17,10:27,1008.7
AXISBANK,2023-10-17,10:28,1009.15
AXISBANK,2023-10-17,10:29,1009.5
AXISBANK,2023-10-17,10:30,1009.15
AXISBANK,2023-10-17,10:31,1009.1
AXISBANK,2023-10-17,10:32,1008.9
AXISBANK,2023-10-17,10:33,1008.05
AXISBANK,2023-10-17,10:34,1007.9
AXISBANK,2023-10-17,10:35,1008.25
AXISBANK,2023-10-17,10:36,1007.95
AXISBANK,2023-10-17,10:37,1007.45
AXISBANK,2023-10-17,10:38,1008.0
AXISBANK,2023-10-17,10:39,1008.05
AXISBANK,2023-10-17,10:40,1008.2
AXISBANK,2023-10-17,10:41,1008.55
AXISBANK,2023-10-17,10:42,1009.0
AXISBANK,2023-10-17,10:43,1009.5
AXISBANK,2023-10-17,10:44,1009.4
AXISBANK,2023-10-17,10:45,1009.25
AXISBANK,2023-10-17,10:46,1009.45
AXISBANK,2023-10-17,10:47,1009.7
AXISBANK,2023-10-17,10:48,1009.9
AXISBANK,2023-10-17,10:49,1010.25
AXISBANK,2023-10-17,10:50,1010.25
AXISBANK,2023-10-17,10:51,1010.5
AXISBANK,2023-10-17,10:52,1010.7
AXISBANK,2023-10-17,10:53,1010.9
AXISBANK,2023-10-17,10:54,1010.25
AXISBANK,2023-10-17,10:55,1010.05
AXISBANK,2023-10-17,10:56,1010.3
AXISBANK,2023-10-17,10:57,1010.2
AXISBANK,2023-10-17,10:58,1010.05
AXISBANK,2023-10-17,10:59,1010.4
AXISBANK,2023-10-17,11:00,1010.15
AXISBANK,2023-10-17,11:01,1010.85
AXISBANK,2023-10-17,11:02,1011.8
AXISBANK,2023-10-17,11:03,1011.6
AXISBANK,2023-10-17,11:04,1012.0
AXISBANK,2023-10-17,11:05,1011.8
AXISBANK,2023-10-17,11:06,1012.2
AXISBANK,2023-10-17,11:07,1012.4
AXISBANK,2023-10-17,11:08,1012.3
AXISBANK,2023-10-17,11:09,1011.7
AXISBANK,2023-10-17,11:10,1011.55
AXISBANK,2023-10-17,11:11,1011.5
AXISBANK,2023-10-17,11:12,1011.35
AXISBANK,2023-10-17,11:13,1011.2
AXISBANK,2023-10-17,11:14,1011.5
AXISBANK,2023-10-17,11:15,1011.6
AXISBANK,2023-10-17,11:16,1011.4
AXISBANK,2023-10-17,11:17,1011.55
AXISBANK,2023-10-17,11:18,1011.65
AXISBANK,2023-10-17,11:19,1011.65
AXISBANK,2023-10-17,11:20,1012.0
AXISBANK,2023-10-17,11:21,1011.6
