Stock,Date,Time,Price
ICICIBANK,2023-10-17,09:16,952.7
ICICIBANK,2023-10-17,09:17,955.3
ICICIBANK,2023-10-17,09:18,955.6
ICICIBANK,2023-10-17,09:19,955.55
ICICIBANK,2023-10-17,09:20,956.25
ICICIBANK,2023-10-17,09:21,957.45
ICICIBANK,2023-10-17,09:22,958.0
ICICIBANK,2023-10-17,09:23,957.55
ICICIBANK,2023-10-17,09:24,957.0
ICICIBANK,2023-10-17,09:25,957.8
ICICIBANK,2023-10-17,09:26,958.3
ICICIBANK,2023-10-17,09:27,957.0
ICICIBANK,2023-10-17,09:28,957.65
ICICIBANK,2023-10-17,09:29,957.2
ICICIBANK,2023-10-17,09:30,956.75
ICICIBANK,2023-10-17,09:31,956.65
ICICIBANK,2023-10-17,09:32,956.4
ICICIBANK,2023-10-17,09:33,956.0
ICICIBANK,2023-10-17,09:34,956.3
ICICIBANK,2023-10-17,09:35,956.25
ICICIBANK,2023-10-17,09:36,956.35
ICICIBANK,2023-10-17,09:37,956.7
ICICIBANK,2023-10-17,09:38,955.75
ICICIBANK,2023-10-17,09:39,956.0
ICICIBANK,2023-10-17,09:40,956.4
ICICIBANK,2023-10-17,09:41,956.1
ICICIBANK,2023-10-17,09:42,956.6
ICICIBANK,2023-10-17,09:43,956.45
ICICIBANK,2023-10-17,09:44,956.9
ICICIBANK,2023-10-17,09:45,957.25
ICICIBANK,2023-10-17,09:46,958.05
ICICIBANK,2023-10-17,09:47,958.3
ICICIBANK,2023-10-17,09:48,957.8
ICICIBANK,2023-10-17,09:49,958.4
ICICIBANK,2023-10-17,09:50,958.7
ICICIBANK,2023-10-17,09:51,959.05
ICICIBANK,2023-10-17,09:52,959.3
ICICIBANK,2023-10-17,09:53,959.0
ICICIBANK,2023-10-17,09:54,959.95
ICICIBANK,2023-10-17,09:55,959.9
ICICIBANK,2023-10-17,09:56,960.3
ICICIBANK,2023-10-17,09:57,960.4
ICICIBANK,2023-10-17,09:58,960.05
ICICIBANK,2023-10-17,09:59,959.9
ICICIBANK,2023-10-17,10:00,960.0
ICICIBANK,2023-10-17,10:01,959.15
ICICIBANK,2023-10-17,10:02,959.5
ICICIBANK,2023-10-17,10:03,959.95
ICICIBANK,2023-10-17,10:04,960.4
ICICIBANK,2023-10-17,10:05,960.55
ICICIBANK,2023-10-17,10:06,960.1
ICICIBANK,2023-10-17,10:07,959.55
ICICIBANK,2023-10-17,10:08,960.0
ICICIBANK,2023-10-17,10:09,959.4
ICICIBANK,2023-10-17,10:10,959.0
ICICIBANK,2023-10-17,10:11,958.65
