Stock,Date,Time,Price
ITC,2023-10-18,09:16,454.5
ITC,2023-10-18,09:17,454.9
ITC,2023-10-18,09:18,454.95
ITC,2023-10-18,09:19,454.25
ITC,2023-10-18,09:20,454.3
ITC,2023-10-18,09:21,454.3
ITC,2023-10-18,09:22,453.85
ITC,2023-10-18,09:23,454.15
ITC,2023-10-18,09:24,454.5
ITC,2023-10-18,09:25,454.6
ITC,2023-10-18,09:26,454.5
ITC,2023-10-18,09:27,454.3
ITC,2023-10-18,09:28,454.65
ITC,2023-10-18,09:29,455.0
ITC,2023-10-18,09:30,455.0
ITC,2023-10-18,09:31,455.1
ITC,2023-10-18,09:32,455.05
ITC,2023-10-18,09:33,454.85
ITC,2023-10-18,09:34,454.9
ITC,2023-10-18,09:35,454.9
ITC,2023-10-18,09:36,455.6
ITC,2023-10-18,09:37,455.75
ITC,2023-10-18,09:38,455.8
ITC,2023-10-18,09:39,456.1
ITC,2023-10-18,09:40,456.55
ITC,2023-10-18,09:41,456.7
ITC,2023-10-18,09:42,456.8
ITC,2023-10-18,09:43,457.1
ITC,2023-10-18,09:44,457.5
ITC,2023-10-18,09:45,457.75
ITC,2023-10-18,09:46,458.15
ITC,2023-10-18,09:47,457.5
ITC,2023-10-18,09:48,457.8
ITC,2023-10-18,09:49,457.85
ITC,2023-10-18,09:50,457.4
ITC,2023-10-18,09:51,457.0
ITC,2023-10-18,09:52,457.15
ITC,2023-10-18,09:53,457.4
ITC,2023-10-18,09:54,457.65
ITC,2023-10-18,09:55,457.25
ITC,2023-10-18,09:56,457.15
ITC,2023-10-18,09:57,457.0
ITC,2023-10-18,09:58,456.6
ITC,2023-10-18,09:59,456.95
ITC,2023-10-18,10:00,457.15
ITC,2023-10-18,10:01,457.4
ITC,2023-10-18,10:02,457.4
ITC,2023-10-18,10:03,457.4
ITC,2023-10-18,10:04,457.35
ITC,2023-10-18,10:05,457.5
ITC,2023-10-18,10:06,457.7
ITC,2023-10-18,10:07,457.7
ITC,2023-10-18,10:08,457.7
ITC,2023-10-18,10:09,457.75
ITC,2023-10-18,10:10,457.95
ITC,2023-10-18,10:11,457.65
ITC,2023-10-18,10:12,457.7
ITC,2023-10-18,10:13,457.65
ITC,2023-10-18,10:14,457.65
ITC,2023-10-18,10:15,457.4
ITC,2023-10-18,10:16,457.4
ITC,2023-10-18,10:17,457.65
ITC,2023-10-18,10:18,457.5
ITC,2023-10-18,10:19,457.4
ITC,2023-10-18,10:20,456.9
ITC,2023-10-18,10:21,456.8
ITC,2023-10-18,10:22,456.9
ITC,2023-10-18,10:23,456.8
ITC,2023-10-18,10:24,456.7
ITC,2023-10-18,10:25,456.65
ITC,2023-10-18,10:26,456.8
ITC,2023-10-18,10:27,456.75
ITC,2023-10-18,10:28,456.8
ITC,2023-10-18,10:29,456.75
ITC,2023-10-18,10:30,456.9
ITC,2023-10-18,10:31,456.9
ITC,2023-10-18,10:32,456.8
ITC,2023-10-18,10:33,457.15
ITC,2023-10-18,10:34,457.35
ITC,2023-10-18,10:35,457.35
ITC,2023-10-18,10:36,457.2
ITC,2023-10-18,10:37,457.25
ITC,2023-10-18,10:38,457.25
ITC,2023-10-18,10:39,457.0
ITC,2023-10-18,10:40,457.0
ITC,2023-10-18,10:41,456.95
ITC,2023-10-18,10:42,456.8
ITC,2023-10-18,10:43,456.95
ITC,2023-10-18,10:44,457.0
ITC,2023-10-18,10:45,457.0
ITC,2023-10-18,10:46,456.85
ITC,2023-10-18,10:47,456.8
