Stock,Date,Time,Price
TATASTEEL,2023-10-18,09:16,127.65
TATASTEEL,2023-10-18,09:17,127.85
TATASTEEL,2023-10-18,09:18,127.85
TATASTEEL,2023-10-18,09:19,128.1
TATASTEEL,2023-10-18,09:20,128.05
TATASTEEL,2023-10-18,09:21,128.25
TATASTEEL,2023-10-18,09:22,128.2
TATASTEEL,2023-10-18,09:23,128.15
TATASTEEL,2023-10-18,09:24,128.3
TATASTEEL,2023-10-18,09:25,128.6
TATASTEEL,2023-10-18,09:26,128.65
TATASTEEL,2023-10-18,09:27,128.55
TATASTEEL,2023-10-18,09:28,128.3
TATASTEEL,2023-10-18,09:29,128.25
TATASTEEL,2023-10-18,09:30,128.35
TATASTEEL,2023-10-18,09:31,128.15
TATASTEEL,2023-10-18,09:32,128.1
TATASTEEL,2023-10-18,09:33,128.15
TATASTEEL,2023-10-18,09:34,128.05
TATASTEEL,2023-10-18,09:35,128.2
TATASTEEL,2023-10-18,09:36,128.15
TATASTEEL,2023-10-18,09:37,128.1
TATASTEEL,2023-10-18,09:38,127.85
TATASTEEL,2023-10-18,09:39,127.95
TATASTEEL,2023-10-18,09:40,128.0
TATASTEEL,2023-10-18,09:41,128.0
TATASTEEL,2023-10-18,09:42,128.15
TATASTEEL,2023-10-18,09:43,128.15
TATASTEEL,2023-10-18,09:44,128.2
TATASTEEL,2023-10-18,09:45,128.1
TATASTEEL,2023-10-18,09:46,128.0
TATASTEEL,2023-10-18,09:47,127.95
TATASTEEL,2023-10-18,09:48,127.9
TATASTEEL,2023-10-18,09:49,127.8
TATASTEEL,2023-10-18,09:50,127.9
TATASTEEL,2023-10-18,09:51,127.95
TATASTEEL,2023-10-18,09:52,127.85
TATASTEEL,2023-10-18,09:53,127.55
TATASTEEL,2023-10-18,09:54,127.55
TATASTEEL,2023-10-18,09:55,127.6
TATASTEEL,2023-10-18,09:56,127.7
TATASTEEL,2023-10-18,09:57,127.7
TATASTEEL,2023-10-18,09:58,127.7
TATASTEEL,2023-10-18,09:59,127.7
TATASTEEL,2023-10-18,10:00,127.8
TATASTEEL,2023-10-18,10:01,127.8
TATASTEEL,2023-10-18,10:02,127.75
TATASTEEL,2023-10-18,10:03,127.85
TATASTEEL,2023-10-18,10:04,127.8
TATASTEEL,2023-10-18,10:05,127.9
TATASTEEL,2023-10-18,10:06,127.85
TATASTEEL,2023-10-18,10:07,127.95
TATASTEEL,2023-10-18,10:08,128.0
TATASTEEL,2023-10-18,10:09,128.0
TATASTEEL,2023-10-18,10:10,128.05
TATASTEEL,2023-10-18,10:11,128.0
TATASTEEL,2023-10-18,10:12,128.0
TATASTEEL,2023-10-18,10:13,128.0
TATASTEEL,2023-10-18,10:14,127.9
TATASTEEL,2023-10-18,10:15,127.95
TATASTEEL,2023-10-18,10:16,127.85
TATASTEEL,2023-10-18,10:17,127.95
TATASTEEL,2023-10-18,10:18,127.95
TATASTEEL,2023-10-18,10:19,127.9
TATASTEEL,2023-10-18,10:20,127.9
TATASTEEL,2023-10-18,10:21,127.9
TATASTEEL,2023-10-18,10:22,127.9
TATASTEEL,2023-10-18,10:23,127.95
TATASTEEL,2023-10-18,10:24,127.9
TATASTEEL,2023-10-18,10:25,128.0
TATASTEEL,2023-10-18,10:26,128.0
TATASTEEL,2023-10-18,10:27,128.0
TATASTEEL,2023-10-18,10:28,128.0
TATASTEEL,2023-10-18,10:29,128.0
TATASTEEL,2023-10-18,10:30,128.05
TATASTEEL,2023-10-18,10:31,128.05
TATASTEEL,2023-10-18,10:32,128.05
TATASTEEL,2023-10-18,10:33,128.1
TATASTEEL,2023-10-18,10:34,128.1
TATASTEEL,2023-10-18,10:35,128.05
TATASTEEL,2023-10-18,10:36,128.1
TATASTEEL,2023-10-18,10:37,128.1
TATASTEEL,2023-10-18,10:38,128.15
TATASTEEL,2023-10-18,10:39,128.1
TATASTEEL,2023-10-18,10:40,128.05
TATASTEEL,2023-10-18,10:41,128.05
TATASTEEL,2023-10-18,10:42,128.0
TATASTEEL,2023-10-18,10:43,127.95
TATASTEEL,2023-10-18,10:44,127.95
TATASTEEL,2023-10-18,10:45,127.7
TATASTEEL,2023-10-18,10:46,127.7
TATASTEEL,2023-10-18,10:47,127.6
